,pp_nonlocal12_high_per_res,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt
p4_r5_she,-0.021484375,-0.004277343750000107,-0.033203125,-0.004199218749999956,0.002363281250000071,-0.015625,-9.009999999999998,-0.6006666666666667,-0.30300000000000016,-0.24933333333333335,-0.07,-0.3333333333333333,-0.033203125,-1.5333333333333337
p4_r5_she_plus_p7_r5_she,0.005859375,0.004374999999999574,0.00390625,0.0024023437500000355,0.002363281250000071,0.001953125,-3.259999999999998,-0.21733333333333338,-0.12050000000000016,-0.1100000000000001,0.0,-0.06666666666666665,0.0,-0.06666666666666687
p4_r5_sne,0.0078125,0.00146484375,0.0,0.0025000000000001688,0.0016796874999998046,0.0078125,-2.5799999999999983,-0.17200000000000015,-0.04750000000000021,-0.04600000000000015,0.0,-0.06666666666666665,-0.001953125,-0.13333333333333375
p4_r5_sne_plus_p7_r5_sne,0.001953125,0.0018554687499996447,0.001953125,0.0011132812499998757,0.002285156250000142,0.001953125,-0.7899999999999991,-0.05266666666666664,-0.07350000000000012,-0.03866666666666674,0.010000000000000009,0.0,-0.001953125,0.0
p4_r5_swd_plus_p7_r5_swd,-0.001953125,0.00212890624999984,-0.00390625,-0.0008203124999999201,-0.0011914062500000266,-0.001953125,-10.659999999999997,-0.7106666666666666,-0.14750000000000008,-0.18600000000000022,-0.09,-0.19999999999999996,-0.017578125,-0.8
p4_r5_the_plus_p7_r5_the,-0.015625,-0.0005468750000003908,-0.013671875,-0.0016015624999998757,-0.0019921874999999645,-0.013671875,-10.799999999999997,-0.7199999999999998,-0.4675000000000001,-0.37133333333333346,-0.06,-0.6000000000000001,-0.056640625,-2.4000000000000004
p5_r6_aye,0.00390625,0.0020898437499998757,0.00390625,0.0019140625000000355,0.0010742187499999112,0.001953125,-2.25,-0.1499999999999999,-0.03000000000000025,-0.03533333333333344,-0.020000000000000004,0.0,0.0,-0.06666666666666687
p5_r6_nye,0.00390625,0.0039453124999999645,-0.001953125,0.003671874999999991,0.005019531249999876,0.005859375,-3.769999999999996,-0.25133333333333363,-0.006000000000000227,-0.04000000000000015,-0.08,0.0,0.00390625,0.2666666666666666
p5_r6_sfe,0.00390625,0.0022265624999997513,0.001953125,0.00162109375000008,0.0007812499999999556,0.001953125,-1.0899999999999963,-0.07266666666666621,-0.017000000000000015,-0.029333333333333433,0.0,-0.06666666666666665,-0.001953125,-0.13333333333333375
p5_r6_swd,-0.01171875,-0.0067968750000000355,-0.01953125,-0.0058984374999999645,-0.005683593749999938,-0.01171875,-9.699999999999996,-0.646666666666667,-0.14750000000000008,-0.17399999999999993,-0.09,-0.19999999999999996,-0.017578125,-0.6666666666666667
p5_r6_syq,0.009765625,0.002519531249999929,0.0078125,0.0012109375000000089,0.0007031250000000266,0.0078125,2.740000000000002,0.18266666666666698,0.046499999999999875,0.053999999999999715,0.07,0.13333333333333341,0.005859375,0.33333333333333304
p5_r6_thn,-0.005859375,-0.002207031250000213,-0.0078125,-0.0033984375000000178,-0.004765625000000107,-0.005859375,-5.560000000000002,-0.37066666666666626,-0.17700000000000016,-0.13800000000000012,-0.020000000000000004,-0.19999999999999996,-0.009765625,-0.4666666666666668
p5_r6_twd,-0.01953125,-0.009003906250000249,-0.021484375,-0.00603515624999984,-0.005175781249999956,-0.017578125,-6.399999999999999,-0.42666666666666675,-0.04000000000000026,-0.04866666666666675,-0.09,0.06666666666666665,-0.00390625,0.0
p5_r6_tye,0.001953125,-0.0003906250000000888,-0.001953125,0.0010742187500001332,-0.00015625000000007994,0.0,-3.3900000000000006,-0.22599999999999998,-0.08800000000000019,-0.09600000000000031,-0.03,-0.06666666666666665,-0.001953125,-0.13333333333333375
p5_r6_vfn,-0.005859375,-0.0021484375000002665,-0.009765625,-0.00226562500000016,-0.00341796875,-0.0078125,-7.729999999999997,-0.515333333333333,-0.3125,-0.2506666666666668,-0.04000000000000001,-0.3333333333333333,-0.03515625,-1.6
p6_r7_qfw,-0.0390625,-0.015175781250000409,-0.041015625,-0.01621093749999991,-0.008945312500000524,-0.03125,-3.960000000000001,-0.2639999999999998,-0.09350000000000014,-0.1006666666666668,-0.03,-0.06666666666666665,-0.00390625,-0.2666666666666666
p6_r7_qrw,-0.009765625,-0.008671875000000107,-0.01171875,-0.009375000000000133,-0.009160156250000107,-0.01171875,-8.449999999999996,-0.563333333333333,-0.2899999999999999,-0.24200000000000005,-0.06,-0.19999999999999996,-0.0234375,-1.0000000000000002
